Frame 235: Person - x: 126, y: 190, w: 404, h: 289, conf: 0.93
Frame 236: Person - x: 126, y: 192, w: 404, h: 287, conf: 0.93
Frame 237: Person - x: 131, y: 203, w: 391, h: 276, conf: 0.91
Frame 238: Person - x: 131, y: 206, w: 391, h: 272, conf: 0.91
Frame 239: Person - x: 130, y: 205, w: 401, h: 274, conf: 0.91
Frame 240: Person - x: 130, y: 206, w: 402, h: 273, conf: 0.92
Frame 241: Person - x: 130, y: 205, w: 406, h: 274, conf: 0.93
Frame 242: Person - x: 130, y: 206, w: 407, h: 273, conf: 0.92
Frame 243: Person - x: 132, y: 207, w: 400, h: 271, conf: 0.91
Frame 244: Person - x: 133, y: 210, w: 401, h: 269, conf: 0.90
Frame 245: Person - x: 132, y: 211, w: 401, h: 268, conf: 0.91
Frame 246: Person - x: 132, y: 209, w: 412, h: 270, conf: 0.89
Frame 247: Person - x: 128, y: 186, w: 493, h: 293, conf: 0.89
Frame 248: Person - x: 125, y: 179, w: 502, h: 300, conf: 0.91
Frame 249: Person - x: 125, y: 171, w: 497, h: 308, conf: 0.85
Frame 250: Person - x: 107, y: 125, w: 472, h: 353, conf: 0.88
Frame 251: Person - x: 108, y: 114, w: 490, h: 364, conf: 0.87
Frame 252: Person - x: 106, y: 105, w: 488, h: 374, conf: 0.89
Frame 253: Person - x: 99, y: 65, w: 536, h: 413, conf: 0.90
Frame 254: Person - x: 99, y: 63, w: 538, h: 416, conf: 0.90
Frame 255: Person - x: 98, y: 61, w: 538, h: 417, conf: 0.90
Frame 256: Person - x: 106, y: 82, w: 520, h: 396, conf: 0.88
Frame 257: Person - x: 107, y: 88, w: 526, h: 390, conf: 0.87
Frame 258: Person - x: 114, y: 95, w: 525, h: 383, conf: 0.89
Frame 259: Person - x: 110, y: 100, w: 524, h: 378, conf: 0.90
Frame 260: Person - x: 109, y: 109, w: 521, h: 370, conf: 0.88
Frame 261: Person - x: 107, y: 110, w: 522, h: 368, conf: 0.88
Frame 261: Person - x: 38, y: 363, w: 82, h: 115, conf: 0.35
Frame 262: Person - x: 104, y: 113, w: 520, h: 366, conf: 0.86
Frame 263: Person - x: 105, y: 115, w: 528, h: 364, conf: 0.87
Frame 264: Person - x: 105, y: 114, w: 416, h: 365, conf: 0.86
Frame 264: Person - x: 475, y: 366, w: 79, h: 111, conf: 0.43
Frame 264: Person - x: 539, y: 257, w: 99, h: 222, conf: 0.37
Frame 265: Person - x: 102, y: 115, w: 441, h: 364, conf: 0.86
Frame 265: Person - x: 510, y: 255, w: 128, h: 223, conf: 0.40
Frame 265: Person - x: 34, y: 367, w: 85, h: 112, conf: 0.31
Frame 266: Person - x: 103, y: 115, w: 431, h: 364, conf: 0.86
Frame 266: Person - x: 506, y: 266, w: 132, h: 212, conf: 0.42
Frame 266: Person - x: 35, y: 367, w: 84, h: 112, conf: 0.31
Frame 267: Person - x: 107, y: 114, w: 408, h: 364, conf: 0.91
Frame 267: Person - x: 505, y: 365, w: 77, h: 78, conf: 0.66
Frame 268: Person - x: 106, y: 113, w: 420, h: 365, conf: 0.90
Frame 268: Person - x: 505, y: 365, w: 103, h: 81, conf: 0.75
Frame 268: Person - x: 33, y: 367, w: 86, h: 112, conf: 0.33
Frame 269: Person - x: 107, y: 114, w: 424, h: 364, conf: 0.89
Frame 269: Person - x: 503, y: 366, w: 103, h: 81, conf: 0.75
Frame 270: Person - x: 104, y: 113, w: 421, h: 365, conf: 0.90
Frame 270: Person - x: 502, y: 366, w: 106, h: 81, conf: 0.75
Frame 270: Person - x: 584, y: 379, w: 55, h: 69, conf: 0.33
Frame 271: Person - x: 105, y: 114, w: 419, h: 365, conf: 0.91
Frame 271: Person - x: 502, y: 366, w: 106, h: 81, conf: 0.76
Frame 271: Person - x: 584, y: 379, w: 54, h: 70, conf: 0.35
Frame 272: Person - x: 103, y: 113, w: 421, h: 365, conf: 0.91
Frame 272: Person - x: 502, y: 366, w: 105, h: 81, conf: 0.75
Frame 272: Person - x: 584, y: 379, w: 55, h: 70, conf: 0.32
Frame 273: Person - x: 97, y: 113, w: 424, h: 366, conf: 0.91
Frame 273: Person - x: 502, y: 366, w: 105, h: 81, conf: 0.74
Frame 273: Person - x: 584, y: 379, w: 54, h: 70, conf: 0.30
Frame 274: Person - x: 100, y: 112, w: 420, h: 367, conf: 0.91
Frame 274: Person - x: 504, y: 365, w: 102, h: 81, conf: 0.78
Frame 274: Person - x: 584, y: 379, w: 54, h: 70, conf: 0.31
Frame 275: Person - x: 94, y: 111, w: 427, h: 367, conf: 0.89
Frame 275: Person - x: 505, y: 366, w: 102, h: 81, conf: 0.77
Frame 275: Person - x: 584, y: 379, w: 54, h: 69, conf: 0.37
Frame 276: Person - x: 86, y: 106, w: 439, h: 372, conf: 0.89
Frame 276: Person - x: 505, y: 365, w: 103, h: 81, conf: 0.75
Frame 276: Person - x: 33, y: 367, w: 85, h: 112, conf: 0.49
Frame 276: Person - x: 584, y: 380, w: 55, h: 70, conf: 0.37
Frame 277: Person - x: 85, y: 105, w: 441, h: 373, conf: 0.89
Frame 277: Person - x: 506, y: 365, w: 102, h: 81, conf: 0.73
Frame 277: Person - x: 33, y: 367, w: 85, h: 112, conf: 0.70
Frame 277: Person - x: 584, y: 379, w: 54, h: 70, conf: 0.33
Frame 278: Person - x: 81, y: 101, w: 445, h: 377, conf: 0.89
Frame 278: Person - x: 506, y: 365, w: 103, h: 81, conf: 0.76
Frame 278: Person - x: 33, y: 367, w: 85, h: 112, conf: 0.49
Frame 278: Person - x: 584, y: 379, w: 54, h: 70, conf: 0.34
Frame 279: Person - x: 82, y: 98, w: 449, h: 381, conf: 0.89
Frame 279: Person - x: 506, y: 365, w: 103, h: 81, conf: 0.78
Frame 279: Person - x: 32, y: 368, w: 85, h: 111, conf: 0.48
Frame 279: Person - x: 584, y: 380, w: 55, h: 70, conf: 0.36
Frame 280: Person - x: 87, y: 96, w: 446, h: 382, conf: 0.89
Frame 280: Person - x: 507, y: 366, w: 103, h: 80, conf: 0.77
Frame 280: Person - x: 33, y: 367, w: 85, h: 112, conf: 0.56
Frame 280: Person - x: 584, y: 379, w: 55, h: 69, conf: 0.33
Frame 281: Person - x: 87, y: 96, w: 447, h: 382, conf: 0.89
Frame 281: Person - x: 506, y: 366, w: 103, h: 80, conf: 0.79
Frame 281: Person - x: 32, y: 367, w: 85, h: 111, conf: 0.50
Frame 281: Person - x: 584, y: 379, w: 55, h: 70, conf: 0.37
Frame 282: Person - x: 89, y: 96, w: 446, h: 382, conf: 0.89
Frame 282: Person - x: 506, y: 366, w: 104, h: 80, conf: 0.80
Frame 282: Person - x: 584, y: 379, w: 55, h: 70, conf: 0.35
Frame 282: Person - x: 32, y: 367, w: 86, h: 112, conf: 0.33
Frame 283: Person - x: 96, y: 96, w: 439, h: 382, conf: 0.90
Frame 283: Person - x: 506, y: 366, w: 104, h: 81, conf: 0.80
Frame 283: Person - x: 584, y: 379, w: 55, h: 70, conf: 0.31
Frame 283: Person - x: 33, y: 367, w: 85, h: 112, conf: 0.31
Frame 284: Person - x: 94, y: 97, w: 440, h: 382, conf: 0.90
